trial,learning_rate,mean,std,count,sem,ci_lower,ci_upper
1,0.1,0.3333333333333333,0.0,500,0.0,0.3333333333333333,0.3333333333333333
2,0.1,0.33359151956806354,0.017865749779278572,500,0.000798980619509375,0.33202551755382514,0.33515752158230194
3,0.1,0.33170225687659693,0.025656113386405333,500,0.001147376271408893,0.3294533993846355,0.33395111436855834
4,0.1,0.33025457269893227,0.0318705877377355,500,0.0014252960132889565,0.3274609925128859,0.33304815288497863
5,0.1,0.3276692150681931,0.03640611941946712,500,0.0016281311563780731,0.32447807800169204,0.3308603521346941
6,0.1,0.3250883044553422,0.042570658745273604,500,0.0019038177360275535,0.3213568216927282,0.3288197872179562
7,0.1,0.32250492605599723,0.04617215108612679,500,0.0020648813699194048,0.3184577585709552,0.32655209354103926
8,0.1,0.3190083377011161,0.050231584863035646,500,0.0022464247674259434,0.31460534515696126,0.3234113302452709
9,0.1,0.316902508063969,0.052061360854213486,500,0.0023282548374233573,0.31233912858261925,0.3214658875453188
10,0.1,0.3125108657579534,0.05498976602593086,500,0.002459217098015797,0.30769080024584244,0.31733093127006434
11,0.1,0.30950464961467855,0.057385883539873415,500,0.0025663747308808642,0.30447455514215205,0.31453474408720505
12,0.1,0.3062970720536874,0.059134501655962464,500,0.002644575310366119,0.3011137044453698,0.311480439662005
13,0.1,0.30296477500375657,0.06018759787074969,500,0.002691671204828358,0.297689099442293,0.30824045056522015
14,0.1,0.2988748599529129,0.0620525563152964,500,0.0027750746819727324,0.29343571357624637,0.30431400632957945
15,0.1,0.29570507604484325,0.06261300573328289,500,0.002800138741904092,0.2902168041107112,0.3011933479789753
16,0.1,0.29130177017937664,0.0630720837968858,500,0.0028206693370479933,0.2857732582787626,0.2968302820799907
17,0.1,0.2892621981885338,0.06371184061340131,500,0.002849280131663944,0.2836776091304725,0.29484678724659513
18,0.1,0.284920384765488,0.06407880430708902,500,0.002865691246951147,0.27930362992146374,0.2905371396095122
19,0.1,0.282159367168426,0.06543841576037367,500,0.002926494919601782,0.2764234371260065,0.2878952972108455
20,0.1,0.27853421115216126,0.06750778339465735,500,0.0030190398536157066,0.2726168930390745,0.284451529265248
21,0.1,0.27534206501488956,0.06806972141214418,500,0.0030441704857405473,0.2693754908628381,0.28130863916694104
22,0.1,0.2719209459652829,0.06807497888234589,500,0.003044405606955761,0.2659539109756496,0.2778879809549162
23,0.1,0.2688289472024749,0.0692077678061861,500,0.003095065467713072,0.2627626188857573,0.2748952755191925
24,0.1,0.2658774633337859,0.0696108572237905,500,0.003113092174488557,0.25977580267178835,0.2719791239957835
25,0.1,0.26310824766087115,0.07014827454064759,500,0.003137126207544117,0.25695948029408466,0.26925701502765764
26,0.1,0.25979825657127814,0.06943219370441431,500,0.0031051020990000666,0.253712256457238,0.2658842566853183
27,0.1,0.2570301624279414,0.0708836453927363,500,0.0031700129918229626,0.2508169369639684,0.2632433878919144
28,0.1,0.25298143149825586,0.06878951663202802,500,0.0030763607065713407,0.24695176451337603,0.2590110984831357
29,0.1,0.25052411672413627,0.0688859439764339,500,0.0030806730685109672,0.24448599750985478,0.25656223593841776
30,0.1,0.24674610843024944,0.06676979860154712,500,0.002986036170340595,0.24089347753638188,0.252598739324117
31,0.1,0.24424894421485002,0.06671267673615969,500,0.002983481602860437,0.23840132027324357,0.2500965681564565
32,0.1,0.24108043157321907,0.06612075828456336,500,0.002957010204962321,0.23528469157149293,0.2468761715749452
33,0.1,0.23975898666331275,0.06647011726805539,500,0.0029726340136750893,0.23393262399650958,0.24558534933011592
34,0.1,0.23892356730625494,0.06779838372461695,500,0.003032035895457178,0.23298077695115887,0.244866357661351
35,0.1,0.23736488635717654,0.0669218071583871,500,0.0029928341996657113,0.23149893132583174,0.24323084138852133
36,0.1,0.2372883306370518,0.06619359660211205,500,0.0029602676335504325,0.23148620607529294,0.24309045519881065
37,0.1,0.2347299625004622,0.06545517234978554,500,0.002927244297061702,0.22899256367822127,0.24046736132270316
38,0.1,0.2334441039714065,0.0665100097541024,500,0.002974418059886941,0.2276142445740281,0.2392739633687849
39,0.1,0.2321828227169791,0.06790032671590003,500,0.0030365949246239504,0.22623109666471616,0.23813454876924203
40,0.1,0.2302255205277021,0.0683058185688364,500,0.0030547290715737118,0.2242382515474176,0.23621278950798658
41,0.1,0.22805762754771514,0.06937317316025339,500,0.0031024626200238095,0.22197680081246846,0.23413845428296182
42,0.1,0.22669291851716752,0.06947294542792588,500,0.0031069245714795096,0.2206033463570677,0.23278249067726736
43,0.1,0.2231589712521395,0.06696516312218266,500,0.0029947731373112497,0.21728921590300943,0.22902872660126955
44,0.1,0.2225983938153685,0.06482992902342925,500,0.0028992825654574872,0.21691579998707183,0.22828098764366517
45,0.1,0.22246930880948773,0.06407461684056225,500,0.0028655039777549995,0.21685292101308792,0.22808569660588754
46,0.1,0.22032327311045571,0.06178519055311465,500,0.0027631177215908433,0.21490756237613767,0.22573898384477376
47,0.1,0.2189852547301869,0.06075768221024919,500,0.002717166151548937,0.21365960907315099,0.22431090038722282
48,0.1,0.21898269027520562,0.05971098510027209,500,0.0026703564337537096,0.21374879166504834,0.2242165888853629
49,0.1,0.21759355897174373,0.05963327284968895,500,0.002666881036253942,0.21236647214068602,0.22282064580280145
50,0.1,0.21736346642232768,0.058925420274686696,500,0.0026352249067388756,0.21219842560511948,0.22252850723953588
51,0.1,0.2163961288913849,0.05852832922772426,500,0.002617466455253584,0.21126589463908788,0.22152636314368193
52,0.1,0.21734831591648782,0.05899163409196899,500,0.0026381860786687346,0.2121774712022971,0.22251916063067853
53,0.1,0.21732042508543606,0.05855506876874307,500,0.0026186622838816885,0.21218784700902796,0.22245300316184416
54,0.1,0.21801895503865795,0.05860527399326339,500,0.0026209075297787495,0.2128819762802916,0.2231559337970243
55,0.1,0.21865086542931342,0.05861038862337736,500,0.0026211362629910417,0.21351343835385098,0.22378829250477586
56,0.1,0.21635021038655136,0.057143399768878764,500,0.0025555305269731737,0.21134137055368393,0.2213590502194188
57,0.1,0.2165264169507627,0.056509397876331885,500,0.002527177100381207,0.2115731498340155,0.22147968406750987
