trial,choice,travel_time,reward
1,B,25.10798045212223,-25.10798045212223
2,C,25.593218974544214,-25.593218974544214
3,A,24.37076892878162,-24.37076892878162
4,C,35.11549296311083,-35.11549296311083
5,B,22.86008794866395,-22.86008794866395
6,A,16.85861974178403,-16.85861974178403
7,A,22.63295058339726,-22.63295058339726
8,A,15.494179406407826,-15.494179406407826
9,B,25.29315841486084,-25.29315841486084
10,B,27.176123959356413,-27.176123959356413
11,A,17.935102279610035,-17.935102279610035
12,A,24.683187800486063,-24.683187800486063
13,A,14.754861973751087,-14.754861973751087
14,A,15.866229069703051,-15.866229069703051
15,A,19.0838509992198,-19.0838509992198
16,A,23.218308884022154,-23.218308884022154
17,A,6.677020405301688,-6.677020405301688
18,A,16.883956977223544,-16.883956977223544
19,A,15.527084145349566,-15.527084145349566
20,A,19.528778407144905,-19.528778407144905
21,A,11.029887311849158,-11.029887311849158
22,A,26.353258993187676,-26.353258993187676
23,A,16.549139300194913,-16.549139300194913
24,C,26.596312016797253,-26.596312016797253
25,A,19.813051045856334,-19.813051045856334
26,A,18.3287907189583,-18.3287907189583
27,A,25.64539952746575,-25.64539952746575
28,A,27.885324328979983,-27.885324328979983
29,A,14.5086647700111,-14.5086647700111
30,A,17.438601673328098,-17.438601673328098
31,A,15.990563650147111,-15.990563650147111
32,A,12.360563285627554,-12.360563285627554
33,B,27.50640449496704,-27.50640449496704
34,A,22.021464535815248,-22.021464535815248
35,A,24.99772428254921,-24.99772428254921
36,B,22.868003593470455,-22.868003593470455
37,A,20.607033302313084,-20.607033302313084
38,A,16.800802530787436,-16.800802530787436
39,A,19.91435313698543,-19.91435313698543
40,A,21.519177039224317,-21.519177039224317
41,A,19.551284199493697,-19.551284199493697
42,A,23.229960231321424,-23.229960231321424
43,A,16.839760124282336,-16.839760124282336
44,A,22.448103594059393,-22.448103594059393
45,A,23.985133743766205,-23.985133743766205
46,B,22.473669369739806,-22.473669369739806
47,C,26.69860032645903,-26.69860032645903
48,C,24.153206237708176,-24.153206237708176
49,A,23.462970599176067,-23.462970599176067
